{'loss': 20.197, 'grad_norm': 95521.5, 'learning_rate': 4.9984472049689445e-05, 'epoch': 0.0}
{'loss': 13.1635, 'grad_norm': 35197.69921875, 'learning_rate': 4.9658385093167706e-05, 'epoch': 0.03}
{'loss': 12.7686, 'grad_norm': 24748.97265625, 'learning_rate': 4.964285714285715e-05, 'epoch': 0.03}
{'loss': 12.363, 'grad_norm': 6129.69091796875, 'learning_rate': 4.9627329192546585e-05, 'epoch': 0.03}
{'loss': 12.5775, 'grad_norm': 46482.859375, 'learning_rate': 4.961180124223603e-05, 'epoch': 0.03}
{'loss': 12.4552, 'grad_norm': 53901.609375, 'learning_rate': 4.9596273291925464e-05, 'epoch': 0.03}
{'loss': 11.9689, 'grad_norm': 249094.234375, 'learning_rate': 4.958074534161491e-05, 'epoch': 0.03}
{'loss': 11.6212, 'grad_norm': 51488.25390625, 'learning_rate': 4.956521739130435e-05, 'epoch': 0.03}
{'loss': 12.0243, 'grad_norm': 48462.8359375, 'learning_rate': 4.954968944099379e-05, 'epoch': 0.04}
{'loss': 11.7614, 'grad_norm': 3005123.25, 'learning_rate': 4.9534161490683236e-05, 'epoch': 0.04}
{'loss': 11.4117, 'grad_norm': 15135519.0, 'learning_rate': 4.951863354037267e-05, 'epoch': 0.04}
{'loss': 11.6006, 'grad_norm': 57213.1015625, 'learning_rate': 4.9503105590062115e-05, 'epoch': 0.04}
{'loss': 11.5535, 'grad_norm': 46820.859375, 'learning_rate': 4.948757763975155e-05, 'epoch': 0.04}
{'loss': 11.4446, 'grad_norm': 70228.4609375, 'learning_rate': 4.9472049689440994e-05, 'epoch': 0.04}
{'loss': 12.1137, 'grad_norm': 32796.93359375, 'learning_rate': 4.945652173913044e-05, 'epoch': 0.04}
{'loss': 12.0506, 'grad_norm': 11669.3017578125, 'learning_rate': 4.944099378881988e-05, 'epoch': 0.04}
{'loss': 11.5954, 'grad_norm': 45140.8125, 'learning_rate': 4.942546583850932e-05, 'epoch': 0.05}
{'loss': 11.5728, 'grad_norm': 34896.33203125, 'learning_rate': 4.940993788819876e-05, 'epoch': 0.05}
{'loss': 11.1317, 'grad_norm': 69656.9140625, 'learning_rate': 4.93944099378882e-05, 'epoch': 0.05}
{'loss': 10.7889, 'grad_norm': 13265.9208984375, 'learning_rate': 4.937888198757764e-05, 'epoch': 0.05}
{'loss': 11.3804, 'grad_norm': 10991.9189453125, 'learning_rate': 4.936335403726708e-05, 'epoch': 0.05}
{'loss': 10.8887, 'grad_norm': 33900.37109375, 'learning_rate': 4.9347826086956524e-05, 'epoch': 0.05}
{'loss': 11.0569, 'grad_norm': 20523.8125, 'learning_rate': 4.933229813664597e-05, 'epoch': 0.05}
{'loss': 10.977, 'grad_norm': 9137.9677734375, 'learning_rate': 4.93167701863354e-05, 'epoch': 0.05}
{'loss': 10.9112, 'grad_norm': 423575.625, 'learning_rate': 4.9301242236024846e-05, 'epoch': 0.06}
{'loss': 10.683, 'grad_norm': 113789.015625, 'learning_rate': 4.928571428571429e-05, 'epoch': 0.06}
{'loss': 10.4314, 'grad_norm': 52429.01171875, 'learning_rate': 4.9270186335403725e-05, 'epoch': 0.06}
{'loss': 10.6831, 'grad_norm': 42378.30078125, 'learning_rate': 4.9254658385093175e-05, 'epoch': 0.06}
{'loss': 10.5052, 'grad_norm': 126081.6796875, 'learning_rate': 4.923913043478261e-05, 'epoch': 0.06}
{'loss': 10.4945, 'grad_norm': 12961.1923828125, 'learning_rate': 4.9223602484472054e-05, 'epoch': 0.06}
{'loss': 10.4121, 'grad_norm': 85629.4921875, 'learning_rate': 4.920807453416149e-05, 'epoch': 0.06}
{'loss': 10.5547, 'grad_norm': 5491.43798828125, 'learning_rate': 4.919254658385093e-05, 'epoch': 0.06}
{'loss': 10.2562, 'grad_norm': 5316.73974609375, 'learning_rate': 4.917701863354037e-05, 'epoch': 0.07}
{'loss': 10.3741, 'grad_norm': 3537.94189453125, 'learning_rate': 4.916149068322982e-05, 'epoch': 0.07}
{'loss': 9.9314, 'grad_norm': 86941.765625, 'learning_rate': 4.914596273291926e-05, 'epoch': 0.07}
{'loss': 9.7507, 'grad_norm': 28469.375, 'learning_rate': 4.91304347826087e-05, 'epoch': 0.07}
{'loss': 9.8462, 'grad_norm': 8240.4736328125, 'learning_rate': 4.911490683229814e-05, 'epoch': 0.07}
{'loss': 9.8998, 'grad_norm': 13031.51953125, 'learning_rate': 4.909937888198758e-05, 'epoch': 0.07}
{'loss': 9.5249, 'grad_norm': 36819.42578125, 'learning_rate': 4.908385093167702e-05, 'epoch': 0.07}
{'loss': 9.6471, 'grad_norm': 199212.421875, 'learning_rate': 4.906832298136646e-05, 'epoch': 0.07}
{'loss': 10.202, 'grad_norm': 9963.5009765625, 'learning_rate': 4.9052795031055906e-05, 'epoch': 0.08}
{'loss': 10.1158, 'grad_norm': 6946.15185546875, 'learning_rate': 4.903726708074534e-05, 'epoch': 0.08}
{'loss': 9.9688, 'grad_norm': 10581.37890625, 'learning_rate': 4.9021739130434785e-05, 'epoch': 0.08}
{'loss': 9.6468, 'grad_norm': 3718.362060546875, 'learning_rate': 4.900621118012423e-05, 'epoch': 0.08}
{'loss': 9.8811, 'grad_norm': 81757.453125, 'learning_rate': 4.8990683229813664e-05, 'epoch': 0.08}
{'loss': 9.652, 'grad_norm': 8990.5517578125, 'learning_rate': 4.897515527950311e-05, 'epoch': 0.08}
{'loss': 9.544, 'grad_norm': 19753.318359375, 'learning_rate': 4.895962732919255e-05, 'epoch': 0.08}
{'loss': 9.6297, 'grad_norm': 9483.96484375, 'learning_rate': 4.894409937888199e-05, 'epoch': 0.08}
{'loss': 9.4846, 'grad_norm': 28232.900390625, 'learning_rate': 4.892857142857143e-05, 'epoch': 0.09}
{'loss': 9.204, 'grad_norm': 11973.3876953125, 'learning_rate': 4.891304347826087e-05, 'epoch': 0.09}
{'loss': 9.3601, 'grad_norm': 14170.4736328125, 'learning_rate': 4.889751552795031e-05, 'epoch': 0.09}
{'loss': 9.5933, 'grad_norm': 11346.4189453125, 'learning_rate': 4.888198757763975e-05, 'epoch': 0.09}
{'loss': 9.7337, 'grad_norm': 5246.82177734375, 'learning_rate': 4.88664596273292e-05, 'epoch': 0.09}
{'loss': 9.3763, 'grad_norm': 7345.50927734375, 'learning_rate': 4.885093167701864e-05, 'epoch': 0.09}
{'loss': 9.7063, 'grad_norm': 17210.73828125, 'learning_rate': 4.883540372670808e-05, 'epoch': 0.09}
{'loss': 9.5434, 'grad_norm': 20411.935546875, 'learning_rate': 4.8819875776397516e-05, 'epoch': 0.09}
{'loss': 9.4728, 'grad_norm': 18231.875, 'learning_rate': 4.880434782608696e-05, 'epoch': 0.1}
{'loss': 9.0789, 'grad_norm': 11468.7060546875, 'learning_rate': 4.8788819875776395e-05, 'epoch': 0.1}
{'loss': 9.1198, 'grad_norm': 566603.125, 'learning_rate': 4.8773291925465845e-05, 'epoch': 0.1}
{'loss': 9.13, 'grad_norm': 21021.904296875, 'learning_rate': 4.875776397515528e-05, 'epoch': 0.1}
{'loss': 9.0488, 'grad_norm': 5393.0107421875, 'learning_rate': 4.8742236024844724e-05, 'epoch': 0.1}
{'loss': 9.4659, 'grad_norm': 30253.234375, 'learning_rate': 4.872670807453417e-05, 'epoch': 0.1}
{'loss': 8.8608, 'grad_norm': 22435.77734375, 'learning_rate': 4.87111801242236e-05, 'epoch': 0.1}
{'loss': 9.0713, 'grad_norm': 30124.326171875, 'learning_rate': 4.8695652173913046e-05, 'epoch': 0.1}
{'loss': 8.8592, 'grad_norm': 4187.7412109375, 'learning_rate': 4.868012422360249e-05, 'epoch': 0.11}
{'loss': 8.8559, 'grad_norm': 49161.9609375, 'learning_rate': 4.866459627329193e-05, 'epoch': 0.11}
{'loss': 9.1147, 'grad_norm': 2301.01953125, 'learning_rate': 4.864906832298137e-05, 'epoch': 0.11}
{'loss': 8.9363, 'grad_norm': 6162.05078125, 'learning_rate': 4.863354037267081e-05, 'epoch': 0.11}
{'loss': 8.8934, 'grad_norm': 6265.9716796875, 'learning_rate': 4.861801242236025e-05, 'epoch': 0.11}
{'loss': 9.0807, 'grad_norm': 9692.7314453125, 'learning_rate': 4.860248447204969e-05, 'epoch': 0.11}
{'loss': 8.9013, 'grad_norm': 5161.79833984375, 'learning_rate': 4.858695652173913e-05, 'epoch': 0.11}
{'loss': 8.8099, 'grad_norm': 5740.4208984375, 'learning_rate': 4.8571428571428576e-05, 'epoch': 0.11}
{'loss': 8.8125, 'grad_norm': 47286.5859375, 'learning_rate': 4.855590062111802e-05, 'epoch': 0.12}
{'loss': 8.5903, 'grad_norm': 684.5274047851562, 'learning_rate': 4.8540372670807455e-05, 'epoch': 0.12}
{'loss': 8.8011, 'grad_norm': 19745.40234375, 'learning_rate': 4.85248447204969e-05, 'epoch': 0.12}
{'loss': 8.4332, 'grad_norm': 1319.4793701171875, 'learning_rate': 4.8509316770186334e-05, 'epoch': 0.12}
{'loss': 8.557, 'grad_norm': 10943.7861328125, 'learning_rate': 4.849378881987578e-05, 'epoch': 0.12}
{'loss': 8.2618, 'grad_norm': 32448.986328125, 'learning_rate': 4.847826086956522e-05, 'epoch': 0.12}
{'loss': 8.0897, 'grad_norm': 2050.78955078125, 'learning_rate': 4.846273291925466e-05, 'epoch': 0.12}
{'loss': 8.1343, 'grad_norm': 5414.2109375, 'learning_rate': 4.8447204968944106e-05, 'epoch': 0.12}
{'eval_loss': 6.359799385070801, 'eval_runtime': 6.2594, 'eval_samples_per_second': 141.866, 'eval_steps_per_second': 8.946, 'epoch': 0.12}
{'loss': 8.1591, 'grad_norm': 2011.6856689453125, 'learning_rate': 4.843167701863354e-05, 'epoch': 0.13}
{'loss': 8.268, 'grad_norm': 520.16796875, 'learning_rate': 4.8416149068322985e-05, 'epoch': 0.13}
{'loss': 8.1746, 'grad_norm': 1596.9266357421875, 'learning_rate': 4.840062111801242e-05, 'epoch': 0.13}
{'loss': 8.031, 'grad_norm': 2337.25390625, 'learning_rate': 4.8385093167701864e-05, 'epoch': 0.13}
{'loss': 8.1497, 'grad_norm': 1054.053466796875, 'learning_rate': 4.836956521739131e-05, 'epoch': 0.13}
{'loss': 8.0674, 'grad_norm': 16009.740234375, 'learning_rate': 4.835403726708075e-05, 'epoch': 0.13}
{'loss': 7.8665, 'grad_norm': 2256.619140625, 'learning_rate': 4.8338509316770186e-05, 'epoch': 0.13}
{'loss': 8.1753, 'grad_norm': 1850.972900390625, 'learning_rate': 4.832298136645963e-05, 'epoch': 0.13}
{'loss': 7.8795, 'grad_norm': 918.6364135742188, 'learning_rate': 4.830745341614907e-05, 'epoch': 0.14}
{'loss': 7.6339, 'grad_norm': 11056.7998046875, 'learning_rate': 4.829192546583851e-05, 'epoch': 0.14}
{'loss': 7.6989, 'grad_norm': 407.5361022949219, 'learning_rate': 4.827639751552796e-05, 'epoch': 0.14}
{'loss': 7.9412, 'grad_norm': 995.0010375976562, 'learning_rate': 4.8260869565217394e-05, 'epoch': 0.14}
{'loss': 7.6163, 'grad_norm': 5063.24609375, 'learning_rate': 4.824534161490684e-05, 'epoch': 0.14}
{'loss': 7.6729, 'grad_norm': 5101.7509765625, 'learning_rate': 4.822981366459627e-05, 'epoch': 0.14}
{'loss': 7.5164, 'grad_norm': 1018.9624633789062, 'learning_rate': 4.8214285714285716e-05, 'epoch': 0.14}
{'loss': 7.5842, 'grad_norm': 565.4031982421875, 'learning_rate': 4.819875776397515e-05, 'epoch': 0.14}
{'loss': 7.5773, 'grad_norm': 8734.4912109375, 'learning_rate': 4.81832298136646e-05, 'epoch': 0.15}
{'loss': 7.3863, 'grad_norm': 742.4312133789062, 'learning_rate': 4.8167701863354045e-05, 'epoch': 0.15}
{'loss': 7.2898, 'grad_norm': 1321.6904296875, 'learning_rate': 4.815217391304348e-05, 'epoch': 0.15}
{'loss': 7.1552, 'grad_norm': 652.4366455078125, 'learning_rate': 4.8136645962732924e-05, 'epoch': 0.15}
{'loss': 7.3927, 'grad_norm': 287.0294189453125, 'learning_rate': 4.812111801242236e-05, 'epoch': 0.15}
{'loss': 7.2212, 'grad_norm': 4580.17333984375, 'learning_rate': 4.81055900621118e-05, 'epoch': 0.15}
{'loss': 7.2835, 'grad_norm': 1014.33642578125, 'learning_rate': 4.8090062111801246e-05, 'epoch': 0.15}
{'loss': 7.1643, 'grad_norm': 1433.806396484375, 'learning_rate': 4.807453416149069e-05, 'epoch': 0.15}
{'loss': 7.0683, 'grad_norm': 881.7573852539062, 'learning_rate': 4.8059006211180125e-05, 'epoch': 0.16}
{'loss': 7.1057, 'grad_norm': 394.7116394042969, 'learning_rate': 4.804347826086957e-05, 'epoch': 0.16}
{'loss': 6.9972, 'grad_norm': 551.0924682617188, 'learning_rate': 4.802795031055901e-05, 'epoch': 0.16}
{'loss': 7.0558, 'grad_norm': 179.90371704101562, 'learning_rate': 4.801242236024845e-05, 'epoch': 0.16}
{'loss': 6.9669, 'grad_norm': 451.4031982421875, 'learning_rate': 4.799689440993789e-05, 'epoch': 0.16}
{'loss': 6.8252, 'grad_norm': 384.8433837890625, 'learning_rate': 4.798136645962733e-05, 'epoch': 0.16}
{'loss': 6.8948, 'grad_norm': 843.98583984375, 'learning_rate': 4.7965838509316776e-05, 'epoch': 0.16}
{'loss': 6.9361, 'grad_norm': 1687.248291015625, 'learning_rate': 4.795031055900621e-05, 'epoch': 0.16}
{'loss': 6.8698, 'grad_norm': 981.1296997070312, 'learning_rate': 4.7934782608695655e-05, 'epoch': 0.17}
{'loss': 6.7505, 'grad_norm': 360.4811096191406, 'learning_rate': 4.791925465838509e-05, 'epoch': 0.17}
{'loss': 6.7647, 'grad_norm': 9220.7216796875, 'learning_rate': 4.7903726708074534e-05, 'epoch': 0.17}
{'loss': 6.8119, 'grad_norm': 351.486083984375, 'learning_rate': 4.788819875776398e-05, 'epoch': 0.17}
{'loss': 6.6717, 'grad_norm': 1000.7860107421875, 'learning_rate': 4.787267080745342e-05, 'epoch': 0.17}
{'loss': 6.7322, 'grad_norm': 577.498779296875, 'learning_rate': 4.785714285714286e-05, 'epoch': 0.17}
{'loss': 6.7238, 'grad_norm': 359.1839294433594, 'learning_rate': 4.78416149068323e-05, 'epoch': 0.17}
{'loss': 6.6027, 'grad_norm': 7322.8515625, 'learning_rate': 4.782608695652174e-05, 'epoch': 0.17}
{'loss': 6.7945, 'grad_norm': 323.7127990722656, 'learning_rate': 4.781055900621118e-05, 'epoch': 0.18}
{'loss': 6.6742, 'grad_norm': 210.11647033691406, 'learning_rate': 4.779503105590063e-05, 'epoch': 0.18}
{'loss': 6.4035, 'grad_norm': 280.25933837890625, 'learning_rate': 4.7779503105590064e-05, 'epoch': 0.18}
{'loss': 6.5487, 'grad_norm': 657.1741333007812, 'learning_rate': 4.776397515527951e-05, 'epoch': 0.18}
{'loss': 6.4886, 'grad_norm': 839.7880249023438, 'learning_rate': 4.774844720496895e-05, 'epoch': 0.18}
{'loss': 6.4652, 'grad_norm': 326.7054443359375, 'learning_rate': 4.7732919254658386e-05, 'epoch': 0.18}
{'loss': 6.4252, 'grad_norm': 6484.0078125, 'learning_rate': 4.771739130434783e-05, 'epoch': 0.18}
{'loss': 6.4475, 'grad_norm': 892.9224243164062, 'learning_rate': 4.770186335403727e-05, 'epoch': 0.18}
{'loss': 6.3219, 'grad_norm': 290.94622802734375, 'learning_rate': 4.7686335403726715e-05, 'epoch': 0.19}
{'loss': 6.4523, 'grad_norm': 1035.962890625, 'learning_rate': 4.767080745341615e-05, 'epoch': 0.19}
{'loss': 6.4734, 'grad_norm': 407.2957763671875, 'learning_rate': 4.7655279503105594e-05, 'epoch': 0.19}
{'loss': 6.4353, 'grad_norm': 4267.9130859375, 'learning_rate': 4.763975155279503e-05, 'epoch': 0.19}
{'loss': 6.1966, 'grad_norm': 201.39024353027344, 'learning_rate': 4.762422360248447e-05, 'epoch': 0.19}
{'loss': 6.4307, 'grad_norm': 435.3829345703125, 'learning_rate': 4.7608695652173916e-05, 'epoch': 0.19}
{'loss': 6.3, 'grad_norm': 192.14419555664062, 'learning_rate': 4.759316770186336e-05, 'epoch': 0.19}
{'loss': 6.405, 'grad_norm': 893.8840942382812, 'learning_rate': 4.75776397515528e-05, 'epoch': 0.19}
{'loss': 6.3297, 'grad_norm': 530.8743286132812, 'learning_rate': 4.756211180124224e-05, 'epoch': 0.2}
{'loss': 6.3156, 'grad_norm': 165.34376525878906, 'learning_rate': 4.754658385093168e-05, 'epoch': 0.2}
{'loss': 6.26, 'grad_norm': 137.27850341796875, 'learning_rate': 4.753105590062112e-05, 'epoch': 0.2}
{'loss': 6.3061, 'grad_norm': 1354.802001953125, 'learning_rate': 4.751552795031056e-05, 'epoch': 0.2}
{'loss': 6.3098, 'grad_norm': 940.2023315429688, 'learning_rate': 4.75e-05, 'epoch': 0.2}
{'loss': 6.292, 'grad_norm': 263.1744079589844, 'learning_rate': 4.7484472049689446e-05, 'epoch': 0.2}
{'loss': 6.2947, 'grad_norm': 307.08740234375, 'learning_rate': 4.746894409937889e-05, 'epoch': 0.2}
{'loss': 6.089, 'grad_norm': 95.01024627685547, 'learning_rate': 4.7453416149068325e-05, 'epoch': 0.2}
{'loss': 5.9603, 'grad_norm': 581.974853515625, 'learning_rate': 4.743788819875777e-05, 'epoch': 0.2}
{'loss': 6.1008, 'grad_norm': 935.2867431640625, 'learning_rate': 4.7422360248447204e-05, 'epoch': 0.21}
{'loss': 6.2378, 'grad_norm': 322.4385986328125, 'learning_rate': 4.740683229813665e-05, 'epoch': 0.21}
{'loss': 6.1244, 'grad_norm': 2451.06689453125, 'learning_rate': 4.739130434782609e-05, 'epoch': 0.21}
{'loss': 6.0271, 'grad_norm': 233.21975708007812, 'learning_rate': 4.737577639751553e-05, 'epoch': 0.21}
{'loss': 6.0413, 'grad_norm': 1680.001953125, 'learning_rate': 4.736024844720497e-05, 'epoch': 0.21}
{'loss': 6.0576, 'grad_norm': 237.8333740234375, 'learning_rate': 4.734472049689441e-05, 'epoch': 0.21}
{'loss': 5.9833, 'grad_norm': 672.8007202148438, 'learning_rate': 4.7329192546583855e-05, 'epoch': 0.21}
{'loss': 5.9018, 'grad_norm': 288.606689453125, 'learning_rate': 4.731366459627329e-05, 'epoch': 0.21}
{'loss': 5.9763, 'grad_norm': 3234.0048828125, 'learning_rate': 4.729813664596274e-05, 'epoch': 0.22}
{'loss': 5.8665, 'grad_norm': 247.74322509765625, 'learning_rate': 4.7282608695652177e-05, 'epoch': 0.22}
{'loss': 5.9967, 'grad_norm': 240.69699096679688, 'learning_rate': 4.726708074534162e-05, 'epoch': 0.22}
{'loss': 5.9551, 'grad_norm': 850.9912109375, 'learning_rate': 4.7251552795031056e-05, 'epoch': 0.22}
{'loss': 6.0262, 'grad_norm': 2001.29541015625, 'learning_rate': 4.72360248447205e-05, 'epoch': 0.22}
{'loss': 6.0397, 'grad_norm': 303.65618896484375, 'learning_rate': 4.7220496894409935e-05, 'epoch': 0.22}
{'loss': 5.9261, 'grad_norm': 224.26271057128906, 'learning_rate': 4.7204968944099384e-05, 'epoch': 0.22}
{'loss': 5.7825, 'grad_norm': 1504.249267578125, 'learning_rate': 4.718944099378883e-05, 'epoch': 0.22}
{'loss': 5.7647, 'grad_norm': 3955.887451171875, 'learning_rate': 4.7173913043478264e-05, 'epoch': 0.23}
{'loss': 5.8888, 'grad_norm': 104.69435119628906, 'learning_rate': 4.7158385093167706e-05, 'epoch': 0.23}
{'loss': 5.9638, 'grad_norm': 441.4673767089844, 'learning_rate': 4.714285714285714e-05, 'epoch': 0.23}
{'loss': 5.8286, 'grad_norm': 162.67022705078125, 'learning_rate': 4.7127329192546586e-05, 'epoch': 0.23}
{'loss': 5.8357, 'grad_norm': 250.33511352539062, 'learning_rate': 4.711180124223603e-05, 'epoch': 0.23}
{'loss': 5.9479, 'grad_norm': 652.58984375, 'learning_rate': 4.709627329192547e-05, 'epoch': 0.23}
{'loss': 5.9687, 'grad_norm': 222.26905822753906, 'learning_rate': 4.708074534161491e-05, 'epoch': 0.23}
{'loss': 5.9647, 'grad_norm': 267.9889221191406, 'learning_rate': 4.706521739130435e-05, 'epoch': 0.23}
{'loss': 5.8902, 'grad_norm': 531.6813354492188, 'learning_rate': 4.7049689440993793e-05, 'epoch': 0.24}
{'loss': 5.9578, 'grad_norm': 1258.148193359375, 'learning_rate': 4.703416149068323e-05, 'epoch': 0.24}
{'loss': 5.8063, 'grad_norm': 1559.836181640625, 'learning_rate': 4.701863354037267e-05, 'epoch': 0.24}
{'loss': 5.8121, 'grad_norm': 650.38427734375, 'learning_rate': 4.7003105590062115e-05, 'epoch': 0.24}
{'loss': 5.7975, 'grad_norm': 204.12001037597656, 'learning_rate': 4.698757763975156e-05, 'epoch': 0.24}
{'loss': 5.8667, 'grad_norm': 157.16079711914062, 'learning_rate': 4.6972049689440995e-05, 'epoch': 0.24}
{'loss': 5.7998, 'grad_norm': 332.61090087890625, 'learning_rate': 4.695652173913044e-05, 'epoch': 0.24}
{'loss': 5.7535, 'grad_norm': 315.6199035644531, 'learning_rate': 4.6940993788819874e-05, 'epoch': 0.24}
{'loss': 5.7001, 'grad_norm': 396.82891845703125, 'learning_rate': 4.6925465838509317e-05, 'epoch': 0.25}
{'loss': 5.9591, 'grad_norm': 1635.3408203125, 'learning_rate': 4.690993788819876e-05, 'epoch': 0.25}
{'loss': 5.8296, 'grad_norm': 327.5457458496094, 'learning_rate': 4.68944099378882e-05, 'epoch': 0.25}
{'eval_loss': 4.706629276275635, 'eval_runtime': 6.2929, 'eval_samples_per_second': 141.111, 'eval_steps_per_second': 8.899, 'epoch': 0.25}
{'loss': 5.8317, 'grad_norm': 218.42530822753906, 'learning_rate': 4.6878881987577645e-05, 'epoch': 0.25}
{'loss': 6.0194, 'grad_norm': 4699.087890625, 'learning_rate': 4.686335403726708e-05, 'epoch': 0.25}
{'loss': 5.6756, 'grad_norm': 229.92417907714844, 'learning_rate': 4.6847826086956524e-05, 'epoch': 0.25}
{'loss': 5.7239, 'grad_norm': 290.89190673828125, 'learning_rate': 4.683229813664596e-05, 'epoch': 0.25}
{'loss': 5.8929, 'grad_norm': 189.10411071777344, 'learning_rate': 4.681677018633541e-05, 'epoch': 0.25}
{'loss': 5.7891, 'grad_norm': 1353.13525390625, 'learning_rate': 4.6801242236024846e-05, 'epoch': 0.26}
{'loss': 5.8229, 'grad_norm': 406.8463439941406, 'learning_rate': 4.678571428571429e-05, 'epoch': 0.26}
{'loss': 5.7747, 'grad_norm': 2062.75341796875, 'learning_rate': 4.6770186335403726e-05, 'epoch': 0.26}
{'loss': 5.6211, 'grad_norm': 227.2818603515625, 'learning_rate': 4.675465838509317e-05, 'epoch': 0.26}
{'loss': 5.8128, 'grad_norm': 525.05126953125, 'learning_rate': 4.673913043478261e-05, 'epoch': 0.26}
{'loss': 5.8391, 'grad_norm': 844.3471069335938, 'learning_rate': 4.6723602484472054e-05, 'epoch': 0.26}
{'loss': 5.8091, 'grad_norm': 215.8264617919922, 'learning_rate': 4.67080745341615e-05, 'epoch': 0.26}
{'loss': 5.6912, 'grad_norm': 257.614013671875, 'learning_rate': 4.6692546583850933e-05, 'epoch': 0.26}
{'loss': 5.6608, 'grad_norm': 1221.91796875, 'learning_rate': 4.6677018633540376e-05, 'epoch': 0.27}
{'loss': 5.6815, 'grad_norm': 322.16680908203125, 'learning_rate': 4.666149068322981e-05, 'epoch': 0.27}
{'loss': 5.7166, 'grad_norm': 84639.578125, 'learning_rate': 4.6645962732919255e-05, 'epoch': 0.27}
{'loss': 5.8447, 'grad_norm': 505.47381591796875, 'learning_rate': 4.66304347826087e-05, 'epoch': 0.27}
{'loss': 5.7397, 'grad_norm': 521.0330200195312, 'learning_rate': 4.661490683229814e-05, 'epoch': 0.27}
{'loss': 5.793, 'grad_norm': 843.3603515625, 'learning_rate': 4.6599378881987584e-05, 'epoch': 0.27}
{'loss': 5.6391, 'grad_norm': 1401.475341796875, 'learning_rate': 4.658385093167702e-05, 'epoch': 0.27}
{'loss': 5.6216, 'grad_norm': 850.318603515625, 'learning_rate': 4.656832298136646e-05, 'epoch': 0.27}
{'loss': 5.8106, 'grad_norm': 1203.3017578125, 'learning_rate': 4.65527950310559e-05, 'epoch': 0.28}
{'loss': 5.7114, 'grad_norm': 565.3370971679688, 'learning_rate': 4.653726708074534e-05, 'epoch': 0.28}
{'loss': 5.5944, 'grad_norm': 2294.99609375, 'learning_rate': 4.6521739130434785e-05, 'epoch': 0.28}
{'loss': 5.6695, 'grad_norm': 1453.2791748046875, 'learning_rate': 4.650621118012423e-05, 'epoch': 0.28}
{'loss': 5.5782, 'grad_norm': 512.5811157226562, 'learning_rate': 4.6490683229813664e-05, 'epoch': 0.28}
{'loss': 5.6722, 'grad_norm': 490.04583740234375, 'learning_rate': 4.647515527950311e-05, 'epoch': 0.28}
{'loss': 5.6674, 'grad_norm': 3348.724853515625, 'learning_rate': 4.645962732919255e-05, 'epoch': 0.28}
{'loss': 5.6549, 'grad_norm': 250.32862854003906, 'learning_rate': 4.6444099378881986e-05, 'epoch': 0.28}
{'loss': 5.5847, 'grad_norm': 461.9766540527344, 'learning_rate': 4.642857142857143e-05, 'epoch': 0.29}
